cond, k, gepp_error, iter_error
4.3400e+14, 5, 7.3315e-25, 3.9990e-66
5.7884e+11, 5, 1.1515e-69, 3.6686e-70
6.3927e+04, 5, 1.9217e-77, 1.3379e-77
2.1529e+09, 5, 5.1940e-62, 1.8815e-72
2.8927e+00, 5, 1.5023e-80, 1.5023e-80
2.4196e+10, 5, 6.0602e-47, 1.6927e-71
1.2516e+07, 5, 1.0030e-73, 9.5900e-74
3.0018e+11, 5, 5.4107e-59, 5.1423e-70
2.2400e+01, 5, 5.8764e-79, 5.6623e-79
7.5023e+06, 5, 1.0706e-74, 1.2455e-74
1.8172e+11, 5, 9.9115e-48, 1.5715e-70
3.0463e+08, 5, 6.9596e-73, 7.5149e-74
7.2080e+09, 5, 1.0887e-54, 2.8085e-71
8.6786e+10, 5, 8.4507e-45, 1.4336e-70
3.5588e+09, 5, 3.1676e-64, 1.2886e-72
2.7414e+00, 5, 1.8786e-80, 1.8786e-80
5.8697e+14, 5, 7.5989e-28, 3.6799e-67
2.8628e+00, 5, 2.3862e-80, 2.3862e-80
1.7359e+02, 5, 1.7679e-78, 2.0770e-79
2.4804e+10, 5, 4.3610e-66, 1.0595e-71
1.2316e+04, 5, 4.1836e-78, 2.9452e-78
2.3630e+03, 5, 6.8611e-77, 4.0298e-79
3.5423e+08, 6, 2.4604e-81, 3.0494e-88
4.7626e+14, 6, 6.6696e-14, 8.8014e-80
1.6047e+08, 6, 4.6468e-73, 7.4338e-89
1.8047e+05, 6, 4.9076e-92, 2.5750e-93
2.1216e+00, 6, 6.8339e-96, 6.8339e-96
7.6479e+15, 6, 1.1094e-13, 1.8643e-78
2.9288e+12, 6, 1.0055e-40, 1.2164e-84
1.7095e+03, 6, 3.8899e-93, 1.8114e-93
9.0904e+09, 6, 2.8951e-82, 2.6514e-88
9.6829e+10, 6, 2.0425e-50, 4.7286e-86
1.3990e+01, 6, 4.6682e-95, 4.6682e-95
4.5458e+01, 6, 1.8708e-95, 1.8708e-95
1.1354e+01, 6, 3.8177e-96, 3.8177e-96
1.8474e+00, 6, 1.6660e-96, 1.6660e-96
2.8434e+02, 6, 5.2193e-94, 1.8333e-95
2.9940e+00, 6, 1.6792e-96, 1.6792e-96
1.2690e+11, 6, 5.5917e-69, 7.6628e-87
1.3307e+13, 6, 3.9592e-52, 4.0114e-84
3.9404e+15, 6, 1.3309e-11, 5.5573e-66
2.9549e+06, 6, 2.8431e-86, 7.5937e-91
9.1422e+15, 6, 3.1564e-15, 7.9741e-82
3.4306e+03, 6, 1.1877e-93, 9.6088e-96
1.8980e+08, 6, 2.5646e-86, 1.1122e-89
8.1880e+00, 6, 4.3596e-96, 4.3596e-96
6.3597e+13, 6, 3.0516e-28, 1.2704e-83
4.4471e+08, 6, 4.1509e-66, 6.0998e-88
3.3520e+05, 6, 7.9661e-91, 4.4763e-91
3.8161e+02, 6, 1.0056e-94, 1.0056e-94
4.0221e+14, 6, 3.5640e-35, 1.5950e-82
1.7215e+01, 6, 8.2209e-97, 8.2209e-97
1.0336e+04, 6, 9.9173e-93, 8.9897e-94
1.3608e+10, 6, 2.8367e-58, 1.8769e-87
2.9482e+07, 6, 1.5077e-89, 1.3965e-90
1.3214e+09, 6, 5.1255e-61, 3.1919e-87
2.2383e+09, 6, 2.0945e-66, 8.7800e-89
4.6959e+07, 6, 9.1262e-64, 7.1083e-90
1.1115e+16, 6, 1.8444e-15, 4.2919e-82
9.2291e+07, 6, 1.2823e-74, 3.0424e-89
1.6826e+04, 6, 2.9398e-92, 5.4635e-93
1.2449e+10, 6, 1.4350e-65, 8.4647e-88
5.0093e+11, 6, 1.7291e-44, 8.3242e-85
1.5038e+07, 6, 4.6011e-89, 4.0462e-91
4.0113e+01, 6, 8.6642e-95, 8.6642e-95
6.0780e+13, 6, 6.3336e-39, 1.1533e-83
2.2319e+05, 6, 1.7516e-91, 6.6118e-92
1.1645e+12, 6, 6.9826e-25, 9.5895e-84
1.3361e+13, 6, 7.5016e-45, 1.3277e-84
8.4763e+05, 6, 1.5757e-91, 6.0717e-92
1.8036e+05, 6, 7.0687e-92, 1.1769e-92
1.3596e+04, 6, 2.2662e-92, 2.1389e-93
2.4045e+15, 7, 8.9752e-25, 7.2940e-98
1.9398e+00, 7, 2.4868e-112, 2.4868e-112
2.3844e+12, 7, 1.5313e-44, 1.1951e-100
9.3338e+01, 7, 2.2866e-112, 2.2866e-112
4.3925e+08, 7, 1.0659e-67, 3.1580e-105
8.1828e+08, 7, 1.5315e-69, 1.7383e-105
4.2337e+03, 7, 2.6395e-109, 4.5305e-110
8.9217e+00, 7, 2.0141e-112, 2.0141e-112
5.1931e+04, 7, 5.0698e-102, 1.8177e-109
6.4721e+01, 7, 1.0978e-111, 1.0978e-111
1.6996e+07, 7, 6.9393e-90, 1.0656e-105
2.0825e+11, 7, 6.2121e-63, 4.9570e-103
8.3695e+01, 7, 4.6848e-111, 4.6848e-111
